Plot,Year,Day,Appeared.Date,rootCount,totalLengthmm,daysBetween,rootCountDay,rootCountMax,totalLengthmmMax,rootCountDayMax,rootCountMaxNorm,totalLengthmmNorm,rootCountDayNorm
QUBI-E,2019,87,2019-03-28,596,12936.3109750974,0,0,596,12936.3109750974,16.7714285714286,1,1,0
QUBI-E,2019,127,2019-05-07,36,282.441379926008,40,0.9,596,12936.3109750974,16.7714285714286,0.060402684563758,0.021833224361235,0.05366269165247
QUBI-E,2019,151,2019-05-31,36,384.952304081009,24,1.5,596,12936.3109750974,16.7714285714286,0.060402684563758,0.029757502337571,0.089437819420784
QUBI-E,2019,171,2019-06-20,85,1025.61262400267,20,4.25,596,12936.3109750974,16.7714285714286,0.14261744966443,0.079281692128227,0.253407155025554
QUBI-E,2019,204,2019-07-23,392,4573.94129423619,33,11.8787878787879,596,12936.3109750974,16.7714285714286,0.657718120805369,0.353573851389402,0.708275256827216
QUBI-E,2019,239,2019-08-27,587,3492.41529229341,35,16.7714285714286,596,12936.3109750974,16.7714285714286,0.98489932885906,0.269969955037132,1
QUBI-E,2019,267,2019-09-24,446,2482.59559120054,28,15.9285714285714,596,12936.3109750974,16.7714285714286,0.748322147651007,0.191909084126036,0.949744463373083
QUBI-E,2019,290,2019-10-17,99,289.947164522695,23,4.30434782608696,596,12936.3109750974,16.7714285714286,0.166107382550336,0.022413434949179,0.256647655729205
QUBI-E,2019,319,2019-11-15,24,21.2025601849838,29,0.827586206896552,596,12936.3109750974,16.7714285714286,0.040268456375839,0.001638995864107,0.049345003818363
QUBI-E,2019,350,2019-12-16,21,0,31,0.67741935483871,596,12936.3109750974,16.7714285714286,0.035234899328859,0,0.040391273286806
QUBI-E,2020,55,2020-02-24,21,0,70,0.3,149,1729.01272402578,5.17857142857143,0.140939597315436,0,0.057931034482759
QUBI-E,2020,111,2020-04-20,21,0,56,0.375,149,1729.01272402578,5.17857142857143,0.140939597315436,0,0.072413793103448
QUBI-E,2020,139,2020-05-18,21,31.3521945973354,28,0.75,149,1729.01272402578,5.17857142857143,0.140939597315436,0.018133003974856,0.144827586206897
QUBI-E,2020,167,2020-06-15,74,886.201947166697,28,2.64285714285714,149,1729.01272402578,5.17857142857143,0.496644295302013,0.512547961534541,0.510344827586207
QUBI-E,2020,195,2020-07-13,145,1729.01272402578,28,5.17857142857143,149,1729.01272402578,5.17857142857143,0.973154362416107,1,1
QUBI-E,2020,232,2020-08-19,149,1128.60417660451,37,4.02702702702703,149,1729.01272402578,5.17857142857143,1,0.652744864697528,0.777632805219012
QUBI-E,2020,259,2020-09-15,39,162.411521502306,27,1.44444444444444,149,1729.01272402578,5.17857142857143,0.261744966442953,0.093933097915065,0.278927203065134
QUBI-E,2020,290,2020-10-16,36,96.5466821792424,31,1.16129032258065,149,1729.01272402578,5.17857142857143,0.241610738255034,0.05583919703867,0.224249165739711
QUBI-E,2020,335,2020-11-30,23,6.53849145296736,45,0.511111111111111,149,1729.01272402578,5.17857142857143,0.154362416107383,0.003781632929654,0.098697318007663
