Plot,Tube,Window,RootID,Appeared,Appeared.Date,Died,Died.Date,Initial.Status,Final.Status,Lifespan,Maximum.Length,Maximum.Diameter,Year,Month,Day
QUBI-E,T711,1,104,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,22.4722050542442,1.44961774349213,2019,3,87
QUBI-E,T711,1,108,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,24.4109114556453,1.44961774349213,2019,3,87
QUBI-E,T711,1,112,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,23.43074902772,1.44961774349213,2019,3,87
QUBI-E,T711,1,116,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,44.1474801092882,1.44961774349213,2019,3,87
QUBI-E,T711,1,132,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,377.451007393025,3.54017186164856,2019,3,87
QUBI-E,T711,1,136,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,31.2409987036266,1.30690932273865,2019,3,87
QUBI-E,T711,1,156,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,64.0312423743285,1.30690932273865,2019,3,87
QUBI-E,T711,1,160,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,29.5693030891059,2.07052493095398,2019,3,87
QUBI-E,T711,1,164,1,2019-03-28,7,2019-09-24,LIVING,DEAD,180,247.949954231404,4.69185447692871,2019,3,87
QUBI-E,T711,1,168,1,2019-03-28,7,2019-09-24,LIVING,DEAD,180,92.5471047941584,1.31066477298737,2019,3,87
QUBI-E,T711,1,172,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,273.733830930789,4.69185447692871,2019,3,87
QUBI-E,T711,1,176,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,139.316187142772,2.00292634963989,2019,3,87
QUBI-E,T711,1,180,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,282.9316063824,8.43231964111328,2019,3,87
QUBI-E,T711,1,184,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,120.10116276705,6.42939329147339,2019,3,87
QUBI-E,T711,1,188,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,16.0312195418814,6.42939329147339,2019,3,87
QUBI-E,T711,1,192,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,108.460605599557,4.28626203536987,2019,3,87
QUBI-E,T711,1,196,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,87.7618949820438,4.28626203536987,2019,3,87
QUBI-E,T711,1,200,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,38.4837628097877,1.44961774349213,2019,3,87
QUBI-E,T711,1,318,1,2019-03-28,6,2019-08-27,LIVING,DEAD,152,174.193975286022,4.69185447692871,2019,3,87
QUBI-E,T711,1,412,1,2019-03-28,-,2020-11-30,LIVING,LIVING,613,119.273405238651,3.12957191467285,2019,3,87
QUBI-E,T711,1,120,1,2019-03-28,-,2020-11-30,EMTIPS,EMTIPS,613,11.0453610171873,1.44961774349213,2019,3,87
QUBI-E,T711,1,124,1,2019-03-28,-,2020-11-30,EMTIPS,EMTIPS,613,11,1.44961774349213,2019,3,87
QUBI-E,T711,1,128,1,2019-03-28,-,2020-11-30,EMTIPS,EMTIPS,613,8.54400374531753,1.44961774349213,2019,3,87
QUBI-E,T711,1,140,1,2019-03-28,-,2020-11-30,EMTIPS,EMTIPS,613,15.556349186104,1.30690932273865,2019,3,87
QUBI-E,T711,1,144,1,2019-03-28,-,2020-11-30,EMTIPS,EMTIPS,613,12.0830459735946,1.30690932273865,2019,3,87
QUBI-E,T711,1,148,1,2019-03-28,-,2020-11-30,EMTIPS,EMTIPS,613,11.7046999107196,1.30690932273865,2019,3,87
QUBI-E,T711,1,152,1,2019-03-28,-,2020-11-30,EMTIPS,EMTIPS,613,11.7046999107196,1.30690932273865,2019,3,87
QUBI-E,T711,1,420,2,2019-05-07,-,2020-11-30,LIVING,LIVING,573,82.1159681442096,2.34717893600464,2019,5,127
QUBI-E,T711,1,426,2,2019-05-07,-,2020-11-30,LIVING,LIVING,573,64.4253408071038,2.34717893600464,2019,5,127
QUBI-E,T711,1,NA,3,2019-05-31,-,-,NOROOTS,NOROOTS,NA,NA,NA,2019,5,151
QUBI-E,T711,1,372,4,2019-06-20,-,2020-11-30,LIVING,LIVING,529,100.072155997768,4.69185447692871,2019,6,171
QUBI-E,T711,1,376,4,2019-06-20,-,2020-11-30,EMTIPS,EMTIPS,529,21.9317121994613,4.69185447692871,2019,6,171
QUBI-E,T711,1,380,4,2019-06-20,-,2020-11-30,EMTIPS,EMTIPS,529,26.0768096208106,4.69185447692871,2019,6,171
QUBI-E,T711,1,384,4,2019-06-20,-,2020-11-30,EMTIPS,EMTIPS,529,17.0293863659264,4.69185447692871,2019,6,171
QUBI-E,T711,1,388,4,2019-06-20,-,2020-11-30,EMTIPS,EMTIPS,529,12.0415945787923,4.69185447692871,2019,6,171
QUBI-E,T711,1,392,4,2019-06-20,-,2020-11-30,EMTIPS,EMTIPS,529,21.5870331449229,4.69185447692871,2019,6,171
QUBI-E,T711,1,452,5,2019-07-23,7,2019-09-24,LIVING,DEAD,63,70.1947067908264,2.00292634963989,2019,7,204
QUBI-E,T711,1,456,5,2019-07-23,7,2019-09-24,LIVING,DEAD,63,9.4339811320566,2.00292634963989,2019,7,204
QUBI-E,T711,1,460,5,2019-07-23,7,2019-09-24,LIVING,DEAD,63,4.12310562561766,2.00292634963989,2019,7,204
QUBI-E,T711,1,464,5,2019-07-23,7,2019-09-24,LIVING,DEAD,63,3.16227766016838,2.00292634963989,2019,7,204
QUBI-E,T711,1,532,5,2019-07-23,-,2020-11-30,LIVING,LIVING,496,71.0211236182588,1.31066477298737,2019,7,204
QUBI-E,T711,1,536,5,2019-07-23,-,2020-11-30,LIVING,LIVING,496,76.6000519308862,5.24265909194946,2019,7,204
QUBI-E,T711,1,540,5,2019-07-23,-,2020-11-30,LIVING,LIVING,496,335.48659778252,5.24265909194946,2019,7,204
QUBI-E,T711,1,544,5,2019-07-23,-,2020-11-30,LIVING,LIVING,496,62.4845200056763,0.782392978668213,2019,7,204
QUBI-E,T711,1,554,5,2019-07-23,-,2020-11-30,LIVING,LIVING,496,42.7551166528639,2.34717893600464,2019,7,204
QUBI-E,T711,1,690,5,2019-07-23,-,2020-11-30,LIVING,LIVING,496,55.1089829338194,1.22053337097168,2019,7,204
QUBI-E,T711,1,558,5,2019-07-23,-,2020-11-30,EMTIPS,EMTIPS,496,6.70820393249937,2.34717893600464,2019,7,204
QUBI-E,T711,1,562,5,2019-07-23,-,2020-11-30,EMTIPS,EMTIPS,496,5.09901951359278,2.34717893600464,2019,7,204
QUBI-E,T711,1,566,5,2019-07-23,-,2020-11-30,EMTIPS,EMTIPS,496,7.81024967590665,2.34717893600464,2019,7,204
QUBI-E,T711,1,570,5,2019-07-23,-,2020-11-30,EMTIPS,EMTIPS,496,10.295630140987,2.34717893600464,2019,7,204
